Evolving 30 sharks over 10000 generations (max_steps=200, lives=3, mutation_rate=0.2, seed=0)...

  Gen |  Size |  Speed | Caution |  Fitness
  383 | 7.977 |  4.834 |   0.308 |  -1.6667
  384 | 7.988 |  5.510 |   0.332 |   7.6667
  385 | 7.845 |  5.053 |   0.349 |   5.8333
  386 | 8.375 |  4.956 |   0.333 |   4.2333
  387 | 8.366 |  5.238 |   0.308 |  -9.4000
  388 | 8.013 |  4.988 |   0.431 |  27.2667
  389 | 8.402 |  5.493 |   0.409 |  25.3333
  390 | 8.426 |  5.299 |   0.328 |  20.0000
  391 | 8.370 |  5.424 |   0.329 |   7.7667
  392 | 8.402 |  5.325 |   0.422 |  -0.9333
  393 | 8.431 |  5.207 |   0.370 |  -1.8333
  394 | 7.761 |  5.218 |   0.334 |  23.3667
  395 | 8.187 |  5.034 |   0.383 |  11.3333
  396 | 8.375 |  5.696 |   0.392 |  -7.9667
  397 | 7.970 |  5.358 |   0.367 |  -1.9333
  398 | 7.970 |  5.358 |   0.367 |  -0.6333
  399 | 8.393 |  5.637 |   0.352 |  16.3000
  400 | 8.705 |  5.262 |   0.394 |   3.3333
  401 | 8.483 |  5.350 |   0.385 |  11.2333
  402 | 8.628 |  5.533 |   0.384 |  12.3000
  403 | 8.667 |  4.978 |   0.353 |  11.0000
  404 | 8.232 |  5.272 |   0.374 |  -3.2000
  405 | 8.155 |  5.816 |   0.372 |  -7.6000
  406 | 8.075 |  5.380 |   0.422 |  11.7667
  407 | 8.261 |  5.760 |   0.364 |  -8.6000
  408 | 8.437 |  4.903 |   0.424 |   4.4000
  409 | 8.133 |  5.505 |   0.384 |  19.3667
  410 | 8.580 |  6.386 |   0.398 |  46.5333
  411 | 8.692 |  6.220 |   0.372 |  -0.9000
  412 | 8.061 |  6.438 |   0.386 |  -2.6333
  413 | 8.274 |  5.836 |   0.392 |   0.1000
  414 | 8.583 |  5.960 |   0.354 |  -2.2333
  415 | 8.583 |  5.960 |   0.354 |  37.7000
  416 | 8.211 |  5.854 |   0.283 |  17.0000
  417 | 8.201 |  5.842 |   0.360 |  26.2000
  418 | 8.209 |  5.851 |   0.236 |  19.9000
  419 | 8.188 |  5.748 |   0.358 |  21.6333
  420 | 7.766 |  5.719 |   0.368 |  12.5333
  421 | 8.298 |  5.632 |   0.271 |  19.2667
  422 | 8.298 |  5.632 |   0.271 |   5.1333
  423 | 8.218 |  4.791 |   0.311 |  27.9000
  424 | 8.440 |  5.712 |   0.328 |  -8.3667
  425 | 8.440 |  5.712 |   0.328 |  -5.6000
  426 | 8.413 |  5.710 |   0.379 |  12.7000
  427 | 8.899 |  5.305 |   0.325 |   4.9667
  428 | 8.041 |  5.621 |   0.321 |  23.6333
  429 | 8.732 |  5.687 |   0.327 |   5.9000
  430 | 8.754 |  5.357 |   0.327 |  -7.9000
  431 | 8.805 |  5.239 |   0.327 |  45.5667
  432 | 8.325 |  5.677 |   0.326 |  19.1333
  433 | 8.311 |  5.461 |   0.320 |  23.1000
  434 | 8.139 |  6.187 |   0.368 |  11.5000
  435 | 8.490 |  5.561 |   0.270 |  18.9333
  436 | 8.434 |  5.567 |   0.291 |  15.6667
  437 | 8.190 |  5.835 |   0.342 |  20.6000
  438 | 8.246 |  5.773 |   0.330 |  38.1000
  439 | 8.305 |  5.797 |   0.345 |  13.8333
  440 | 7.809 |  6.329 |   0.225 |   2.7000
  441 | 8.721 |  5.334 |   0.408 |  21.9667
  442 | 8.721 |  5.334 |   0.408 |  11.7667
  443 | 8.145 |  5.591 |   0.305 |  10.3667
  444 | 8.593 |  5.495 |   0.311 |   7.4333
  445 | 8.729 |  5.175 |   0.338 |  -5.7333
  446 | 8.349 |  5.340 |   0.337 |   8.0667
  447 | 8.322 |  5.280 |   0.325 |   8.3000
  448 | 8.644 |  5.246 |   0.335 |  10.3333
  449 | 8.220 |  5.203 |   0.303 |  -7.9000
  450 | 8.483 |  5.012 |   0.321 |  29.2667
  451 | 8.353 |  4.688 |   0.418 |  11.0667
  452 | 8.994 |  4.696 |   0.418 |  50.8000
  453 | 8.304 |  5.400 |   0.365 |  17.3000
  454 | 8.395 |  5.821 |   0.423 |   6.8000
  455 | 8.355 |  5.553 |   0.351 |   0.3667
  456 | 8.367 |  5.582 |   0.365 |  27.4333
  457 | 8.132 |  5.262 |   0.367 |  -3.1000
  458 | 7.810 |  5.300 |   0.322 |  17.6333
  459 | 8.133 |  5.201 |   0.401 |   0.5667
  460 | 8.443 |  5.718 |   0.391 |   4.8000
  461 | 8.107 |  4.830 |   0.343 |  44.8000
  462 | 8.552 |  5.992 |   0.388 |  32.4333
